%time,field.left_wheel,field.right_wheel
1304220670987705945,0.0,0.0
1304220671027704000,0.0,0.0
1304220671068614959,0.0,0.0
1304220671111063957,0.0,0.0
1304220671148858070,0.0,0.0
1304220671188875913,0.0,0.0
1304220671227889060,0.0,0.0
1304220671263916015,0.0,0.0
1304220671307878971,0.0,0.0
1304220671343841075,0.0,0.0
1304220671387845993,0.0,0.0
1304220671427921056,0.0,0.0
1304220671467812061,0.0,0.0
1304220671507877111,0.0,0.0
1304220671547902107,0.0,0.0
1304220671587894916,0.0,0.0
1304220671627779960,0.0,0.0
1304220671664932966,0.0,0.0
1304220671708834886,0.0,0.0
1304220671748934030,0.0,0.0
1304220671783598899,0.0,0.0
1304220671828833103,0.0,0.0
1304220671864865064,0.0,0.0
1304220671904856920,0.0,0.0
1304220671944852113,0.0,0.0
1304220671987328052,0.0,0.0
1304220672027266979,0.0,0.0
1304220672067250013,0.0,0.0
1304220672108623981,0.0,0.0
1304220672147424936,0.0,0.0
1304220672187395095,0.0,0.0
1304220672235430002,0.0,0.0
1304220672267400026,0.0,0.0
1304220672315398931,0.0,0.0
1304220672351411104,0.0,0.0
1304220672387373924,0.0,0.0
1304220672439388990,0.0,0.0
1304220672479377985,0.0,0.0
1304220672511435985,0.0,0.0
1304220672547379016,0.0,0.0
1304220672587440013,0.0,0.0
1304220672627356052,0.0,0.0
1304220672667325973,0.0,0.0
1304220672707406997,0.0,0.0
1304220672747447967,0.0,0.0
1304220672787375926,0.0,0.0
1304220672827406883,0.0,0.0
1304220672867324113,0.0,0.0
1304220672907265901,0.0,0.0
1304220672947390079,0.0,0.0
1304220672995412111,0.0,0.0
1304220673039416074,0.0,0.0
1304220673071414947,0.0,0.0
1304220673111357927,0.0,0.0
1304220673147413969,0.0,0.0
1304220673195406913,0.0,0.0
1304220673231383085,0.0,0.0
1304220673271437883,0.0,0.0
1304220673311405897,0.0,0.0
1304220673347460031,0.0,0.0
1304220673387404918,0.0,0.0
1304220673427289962,0.0,0.0
1304220673467324018,0.0,0.0
1304220673507266998,0.0,0.0
1304220673547420024,0.0,0.0
1304220673587332963,0.0,0.0
1304220673627329111,0.0,0.0
1304220673667304992,0.0,0.0
1304220673707334995,0.0,0.0
1304220673747302055,0.0,0.0
1304220673787241935,0.0,0.0
1304220673827377080,0.0,0.0
1304220673867413997,0.0,0.0
1304220673907418012,0.0,0.0
1304220673947261095,0.0,0.0
1304220673987390995,0.0,0.0
1304220674027439117,0.0,0.0
1304220674067481040,0.0,0.0
1304220674108422994,0.0,0.0
1304220674147573947,0.0,0.0
1304220674187521934,0.0,0.0
1304220674227508068,0.0,0.0
1304220674267482042,0.0,0.0
1304220674307502031,0.0,0.0
1304220674347568035,0.0,0.0
1304220674387598991,0.0,0.0
1304220674427587032,0.0,0.0
1304220674467581033,0.0,0.0
1304220674507601976,0.0,0.0
1304220674551565885,0.0,0.0
1304220674591675043,0.0,0.0
1304220674631623029,0.0,0.0
1304220674671603918,0.0,0.0
1304220674711597919,0.0,0.0
1304220674751564979,0.0,0.0
1304220674791507005,0.0,0.0
1304220674827601909,0.0,0.0
1304220674867597103,0.0,0.0
1304220674907596111,0.0,0.0
1304220674947591066,0.0,0.0
1304220674991595983,0.0,0.0
1304220675027589082,0.0,0.0
1304220675067580938,0.0,0.0
1304220675107495069,0.0,0.0
1304220675147533893,0.0,0.0
1304220675187582015,0.0,0.0
1304220675227560997,0.0,0.0
1304220675267551898,0.0,0.0
1304220675307516098,0.0,0.0
1304220675347557067,0.0,0.0
1304220675387530088,0.0,0.0
1304220675427546024,0.0,0.0
1304220675467557907,0.0,0.0
1304220675507529973,0.0,0.0
1304220675547544956,0.0,0.0
1304220675587578058,0.0,0.0
1304220675627561092,0.0,0.0
